### Preview of First 50 Encoded Rows (collapsed)

Time	Type_MSG	Type_SMP	...	Trial	L Raw X [px]	L Raw Y [px]
13134048708.0	0.0	1.0	...	1.0	811.19	935.56
13134052711.0	0.0	1.0	...	1.0	810.94	935.66
13134056714.0	0.0	1.0	...	1.0	810.64	935.78
13134060718.0	0.0	1.0	...	1.0	810.49	935.67
13134064721.0	0.0	1.0	...	1.0	810.32	935.66
13134068724.0	0.0	1.0	...	1.0	810.07	935.74
13134072727.0	0.0	1.0	...	1.0	809.7	935.65
13134076730.0	0.0	1.0	...	1.0	809.61	935.99
13134080734.0	0.0	1.0	...	1.0	809.36	935.97
13134084737.0	0.0	1.0	...	1.0	809.09	936.12
13134088740.0	0.0	1.0	...	1.0	808.81	936.03
13134092743.0	0.0	1.0	...	1.0	808.57	936.09
13134096747.0	0.0	1.0	...	1.0	808.27	935.93
13134100750.0	0.0	1.0	...	1.0	808.21	936.22
13134104753.0	0.0	1.0	...	1.0	807.9	936.34
13134108756.0	0.0	1.0	...	1.0	807.56	936.43
13134112760.0	0.0	1.0	...	1.0	807.45	936.37
13288984640.0	1.0	0.0	...	1.0	nan	nan
13288991497.0	0.0	1.0	...	1.0	821.75	927.88
13288995496.0	0.0	1.0	...	1.0	821.3	927.75
13288999495.0	0.0	1.0	...	1.0	820.93	927.52
13289003495.0	0.0	1.0	...	1.0	820.58	927.11
13289007494.0	0.0	1.0	...	1.0	820.03	926.91
13289011494.0	0.0	1.0	...	1.0	819.65	926.7
13289015493.0	0.0	1.0	...	1.0	819.17	926.57
13289019492.0	0.0	1.0	...	1.0	818.82	926.26
13289023492.0	0.0	1.0	...	1.0	818.41	925.96
13289027492.0	0.0	1.0	...	1.0	818.09	925.79
13289031493.0	0.0	1.0	...	1.0	817.63	925.72
13289035493.0	0.0	1.0	...	1.0	817.23	925.4
13289039493.0	0.0	1.0	...	1.0	816.96	925.2
13289043494.0	0.0	1.0	...	1.0	816.51	924.94
13289047494.0	0.0	1.0	...	1.0	816.11	924.77
13289051495.0	0.0	1.0	...	1.0	815.82	924.61
13289055495.0	0.0	1.0	...	1.0	815.33	924.35
13289059495.0	0.0	1.0	...	1.0	815.02	924.15
13289063496.0	0.0	1.0	...	1.0	814.69	923.89
13289067496.0	0.0	1.0	...	1.0	814.33	923.74
13289071497.0	0.0	1.0	...	1.0	813.96	923.53
13289075497.0	0.0	1.0	...	1.0	813.59	923.16
13289079497.0	0.0	1.0	...	1.0	813.37	922.97
13289083498.0	0.0	1.0	...	1.0	813.01	922.79
13289087498.0	0.0	1.0	...	1.0	812.71	922.51
13289091498.0	0.0	1.0	...	1.0	812.38	922.4
13289095498.0	0.0	1.0	...	1.0	812.05	922.18
13289099498.0	0.0	1.0	...	1.0	811.71	921.99
13289103498.0	0.0	1.0	...	1.0	811.48	921.9
13289107499.0	0.0	1.0	...	1.0	811.2	921.87
13289111499.0	0.0	1.0	...	1.0	810.91	921.71
13289115499.0	0.0	1.0	...	1.0	810.75	921.65

Categorical column(s) transformed into dummy variables (0 = not this category, 1 = this category).
